0.0383,0.750,0.699,,,
0.0443,0.757,0.715,,,
0.0403,0.754,0.706,,,
0.0187,0.717,0.690,,,
0.0167,0.714,0.688,,,
0.0577,0.774,0.717,,,
0.00379,0.693,0.676,,,
0.0719,0.799,0.735,,,
0.0305,0.735,0.699,,,
0.0351,0.746,0.703,,,
0.0288,0.734,0.697,,,
0.0213,0.722,0.692,,,
0.0901,0.800,0.733,,,
0.0223,0.723,0.692,,,
0.0124,0.707,0.683,,,
0.0811,0.810,0.740,,,
0.0807,0.799,0.721,,,
0.0647,0.785,0.733,,,
0.0961,0.796,0.717,,,
0.054,0.772,0.720,,,
0.00284,0.692,0.675,,,
0.00337,0.692,0.676,,,
0.019,0.718,0.691,,,
0.0275,0.730,0.695,,,
0.0357,0.746,0.704,,,
0.0665,0.785,0.722,,,
0.0891,0.803,0.739,,,
0.0125,0.707,0.683,,,
0.0997,0.810,0.735,,,
0.073,0.801,0.735,,,
0.0798,0.806,0.737,,,
0.0422,0.756,0.708,,,
0.0338,0.743,0.703,,,
0.019,0.718,0.690,,,
0.0159,0.713,0.687,,,
0.0485,0.764,0.717,,,
0.0747,0.798,0.724,,,
0.0835,0.783,0.744,,,
0.0637,0.782,0.726,,,
0.0904,0.810,0.739,,,
0.00774,0.699,0.679,,,
0.0101,0.703,0.681,,,
0.0238,0.726,0.693,,,
0.00504,0.695,0.678,,,
0.073,0.799,0.730,,,
0.033,0.741,0.702,,,
0.0773,0.795,0.727,,,
0.0157,0.713,0.686,,,
0.0482,0.761,0.708,,,
0.0316,0.739,0.699,,,
0.0235,0.724,0.694,,,
0.0155,0.712,0.687,,,
0.0954,0.795,0.723,,,
0.0585,0.780,0.722,,,
0.0652,0.775,0.711,,,
0.00975,0.702,0.680,,,
0.0289,0.733,0.699,,,
0.0911,0.810,0.743,,,
0.0842,0.805,0.745,,,
0.0762,0.797,0.741,,,
0.000111,0.455,0.467,,,
0.0171,0.714,0.686,,,
0.0889,0.812,0.748,,,
0.0247,0.727,0.695,,,
0.00602,0.696,0.677,,,
0.0758,0.797,0.737,,,
0.0397,0.753,0.705,,,
0.00668,0.698,0.678,,,
